Latitude,Longitude,Sigs,YYYY-MM-DD,Method,Country,Region,SourceFile,SubSource
14.35975647,107.1673932,1,21/04/03,Camera Trap,Cambodia,Virachey National Park,01 Cambodia Combined all data.xlsx,FFI
14.34098214,107.1552197,1,21/04/21,Camera Trap,Cambodia,Virachey National Park,01 Cambodia Combined all data.xlsx,FFI
14.35975647,107.1673932,1,21/04/30,Camera Trap,Cambodia,Virachey National Park,01 Cambodia Combined all data.xlsx,FFI
14.34098214,107.1552197,1,21/05/17,Camera Trap,Cambodia,Virachey National Park,01 Cambodia Combined all data.xlsx,FFI
14.34098214,107.1552197,1,21/06/24,Camera Trap,Cambodia,Virachey National Park,01 Cambodia Combined all data.xlsx,FFI
14.23833817,107.0201609,1,21/05/11,Camera Trap,Cambodia,Virachey National Park,01 Cambodia Combined all data.xlsx,FFI
13.35945002,105.7241395,1,21/05/07,Camera Trap,Cambodia,Kaoh Mereuch,01 Cambodia Combined all data.xlsx,CI
13.29683906,105.6596057,1,21/05/09,Camera Trap,Cambodia,Kaoh Mereuch,01 Cambodia Combined all data.xlsx,CI
13.29658285,105.7238878,1,21/05/07,Camera Trap,Cambodia,Kaoh Mereuch,01 Cambodia Combined all data.xlsx,CI
13.0445975,105.7873549,1,21/05/14,Camera Trap,Cambodia,Kaoh Mereuch,01 Cambodia Combined all data.xlsx,CI
13.04495609,105.6589779,1,21/05/16,Camera Trap,Cambodia,Kaoh Mereuch,01 Cambodia Combined all data.xlsx,CI
13.17096921,105.5950904,1,21/04/07,Camera Trap,Cambodia,Kaoh Mereuch,01 Cambodia Combined all data.xlsx,CI
13.35990998,105.5312863,1,21/04/07,Camera Trap,Cambodia,Kaoh Mereuch,01 Cambodia Combined all data.xlsx,CI
13.4228336,105.5314244,1,21/04/07,Camera Trap,Cambodia,Kaoh Mereuch,01 Cambodia Combined all data.xlsx,CI
13.64298817,105.564143,1,21/03/17,Camera Trap,Cambodia,Kaoh Mereuch,01 Cambodia Combined all data.xlsx,CI
13.51706255,105.5636514,1,21/03/14,Camera Trap,Cambodia,Kaoh Mereuch,01 Cambodia Combined all data.xlsx,CI
13.39148705,105.4992422,1,21/03/13,Camera Trap,Cambodia,Kaoh Mereuch,01 Cambodia Combined all data.xlsx,CI
13.20269823,105.5630513,1,21/03/13,Camera Trap,Cambodia,Kaoh Mereuch,01 Cambodia Combined all data.xlsx,CI
13.07680925,105.4985649,1,21/03/14,Camera Trap,Cambodia,Kaoh Mereuch,01 Cambodia Combined all data.xlsx,CI
13.26543177,105.5953102,1,21/05/11,Camera Trap,Cambodia,Kaoh Mereuch,01 Cambodia Combined all data.xlsx,CI
